STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
NJ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.031,0.0045,0.023,0.041,0.022,0.0032,0.017,0.03,237000,N/A,34000
NM,Overall,0.006,0.0003,0.006,0.007,1,0,N/A,N/A,0.006,0.0003,0.006,0.007,1737000,N/A,75000
NM,0 - Did not misuse in the past year,0.006,0.0003,0.006,0.007,0.964,0.0052,0.952,0.973,0.006,0.0003,0.006,0.007,1674000,N/A,73000
NM,1 - Misused within the past year,0,0,0,0,0.036,0.0052,0.027,0.048,0.006,0.0009,0.004,0.008,63000,N/A,9000
NV,Overall,0.009,0.0005,0.008,0.01,1,0,N/A,N/A,0.009,0.0005,0.008,0.01,2521000,N/A,137000
NV,0 - Did not misuse in the past year,0.009,0.0005,0.008,0.01,0.943,0.0073,0.927,0.955,0.009,0.0005,0.008,0.01,2376000,N/A,130000
NV,1 - Misused within the past year,0.001,0.0001,0,0.001,0.057,0.0073,0.045,0.073,0.014,0.0019,0.01,0.018,145000,N/A,20000
NY,Overall,0.061,0.0013,0.059,0.064,1,0,N/A,N/A,0.061,0.0013,0.059,0.064,16730000,N/A,372000
NY,0 - Did not misuse in the past year,0.06,0.0013,0.057,0.062,0.972,0.0024,0.967,0.977,0.062,0.0014,0.059,0.065,16265000,N/A,366000
NY,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.028,0.0024,0.023,0.033,0.044,0.0039,0.037,0.052,465000,N/A,41000
OH,Overall,0.036,0.001,0.034,0.038,1,0,N/A,N/A,0.036,0.001,0.034,0.038,9802000,N/A,267000
OH,0 - Did not misuse in the past year,0.034,0.0009,0.033,0.036,0.956,0.0036,0.948,0.963,0.036,0.001,0.034,0.038,9371000,N/A,261000
OH,1 - Misused within the past year,0.002,0.0001,0.001,0.002,0.044,0.0036,0.037,0.052,0.041,0.0034,0.035,0.048,430000,N/A,36000
OK,Overall,0.012,0.0005,0.011,0.013,1,0,N/A,N/A,0.012,0.0005,0.011,0.013,3217000,N/A,125000
OK,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.96,0.0048,0.949,0.968,0.012,0.0005,0.011,0.013,3088000,N/A,124000
OK,1 - Misused within the past year,0,0.0001,0,0.001,0.04,0.0048,0.032,0.051,0.012,0.0015,0.01,0.015,129000,N/A,15000
OR,Overall,0.013,0.0005,0.012,0.014,1,0,N/A,N/A,0.013,0.0005,0.012,0.014,3550000,N/A,142000
OR,0 - Did not misuse in the past year,0.012,0.0005,0.011,0.013,0.95,0.0068,0.934,0.961,0.013,0.0005,0.012,0.014,3371000,N/A,133000
OR,1 - Misused within the past year,0.001,0.0001,0,0.001,0.05,0.0068,0.039,0.066,0.017,0.0025,0.013,0.023,179000,N/A,26000
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,272928000,N/A,1691000
Overall,0 - Did not misuse in the past year,0.961,0.0007,0.96,0.963,0.961,0.0007,0.96,0.963,1,0,N/A,N/A,262401000,N/A,1645000
Overall,1 - Misused within the past year,0.039,0.0007,0.037,0.04,0.039,0.0007,0.037,0.04,1,0,N/A,N/A,10527000,N/A,202000
PA,Overall,0.04,0.0011,0.038,0.042,1,0,N/A,N/A,0.04,0.0011,0.038,0.042,10871000,N/A,306000
PA,0 - Did not misuse in the past year,0.038,0.0011,0.036,0.041,0.963,0.0034,0.956,0.97,0.04,0.0011,0.038,0.042,10474000,N/A,302000
PA,1 - Misused within the past year,0.001,0.0001,0.001,0.002,0.037,0.0034,0.03,0.044,0.038,0.0035,0.031,0.045,397000,N/A,37000
RI,Overall,0.003,0.0001,0.003,0.004,1,0,N/A,N/A,0.003,0.0001,0.003,0.004,910000,N/A,34000
RI,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.961,0.0061,0.947,0.972,0.003,0.0001,0.003,0.004,875000,N/A,33000
RI,1 - Misused within the past year,0,0,0,0,0.039,0.0061,0.028,0.053,0.003,0.0005,0.002,0.005,35000,N/A,6000
SC,Overall,0.015,0.0006,0.014,0.017,1,0,N/A,N/A,0.015,0.0006,0.014,0.017,4227000,N/A,173000
SC,0 - Did not misuse in the past year,0.015,0.0006,0.014,0.016,0.962,0.0049,0.951,0.97,0.015,0.0006,0.014,0.017,4065000,N/A,166000
SC,1 - Misused within the past year,0.001,0.0001,0,0.001,0.038,0.0049,0.03,0.049,0.015,0.0021,0.012,0.02,162000,N/A,22000
SD,Overall,0.003,0.0001,0.002,0.003,1,0,N/A,N/A,0.003,0.0001,0.002,0.003,711000,N/A,34000
SD,0 - Did not misuse in the past year,0.003,0.0001,0.002,0.003,0.963,0.0065,0.948,0.974,0.003,0.0001,0.002,0.003,684000,N/A,33000
SD,1 - Misused within the past year,0,0,0,0,0.037,0.0065,0.026,0.052,0.003,0.0005,0.002,0.004,27000,N/A,5000
TN,Overall,0.021,0.0009,0.019,0.023,1,0,N/A,N/A,0.021,0.0009,0.019,0.023,5645000,N/A,262000
TN,0 - Did not misuse in the past year,0.02,0.0009,0.018,0.022,0.965,0.0051,0.954,0.974,0.021,0.0009,0.019,0.023,5449000,N/A,250000
TN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.035,0.0051,0.026,0.046,0.019,0.003,0.014,0.025,196000,N/A,31000
TX,Overall,0.085,0.0019,0.081,0.089,1,0,N/A,N/A,0.085,0.0019,0.081,0.089,23108000,N/A,559000
TX,0 - Did not misuse in the past year,0.082,0.0019,0.078,0.085,0.964,0.0028,0.958,0.969,0.085,0.002,0.081,0.089,22270000,N/A,559000
TX,1 - Misused within the past year,0.003,0.0002,0.003,0.004,0.036,0.0028,0.031,0.042,0.08,0.0057,0.069,0.091,838000,N/A,62000
UT,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2485000,N/A,97000
UT,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.01,0.966,0.0053,0.954,0.975,0.009,0.0004,0.008,0.01,2399000,N/A,98000
UT,1 - Misused within the past year,0,0,0,0,0.034,0.0053,0.025,0.046,0.008,0.0012,0.006,0.011,86000,N/A,12000
VA,Overall,0.026,0.001,0.024,0.028,1,0,N/A,N/A,0.026,0.001,0.024,0.028,7046000,N/A,275000
VA,0 - Did not misuse in the past year,0.025,0.001,0.023,0.027,0.966,0.0033,0.959,0.972,0.026,0.001,0.024,0.028,6808000,N/A,270000
VA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.034,0.0033,0.028,0.041,0.023,0.0022,0.019,0.027,238000,N/A,23000
VT,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,544000,N/A,23000
VT,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.967,0.0057,0.954,0.977,0.002,0.0001,0.002,0.002,526000,N/A,22000
VT,1 - Misused within the past year,0,0,0,0,0.033,0.0057,0.023,0.046,0.002,0.0003,0.001,0.002,18000,N/A,3000
WA,Overall,0.023,0.0012,0.021,0.025,1,0,N/A,N/A,0.023,0.0012,0.021,0.025,6249000,N/A,348000
WA,0 - Did not misuse in the past year,0.022,0.0013,0.02,0.025,0.959,0.0065,0.944,0.97,0.023,0.0013,0.02,0.026,5992000,N/A,354000
WA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.041,0.0065,0.03,0.056,0.024,0.0035,0.019,0.032,258000,N/A,37000
WI,Overall,0.018,0.0008,0.017,0.019,1,0,N/A,N/A,0.018,0.0008,0.017,0.019,4899000,N/A,207000
WI,0 - Did not misuse in the past year,0.017,0.0008,0.016,0.019,0.957,0.007,0.941,0.969,0.018,0.0008,0.016,0.019,4687000,N/A,210000
WI,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.043,0.007,0.031,0.059,0.02,0.0031,0.015,0.027,212000,N/A,33000
WV,Overall,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,0.006,0.0002,0.005,0.006,1542000,N/A,58000
WV,0 - Did not misuse in the past year,0.005,0.0002,0.005,0.006,0.968,0.0037,0.96,0.974,0.006,0.0002,0.005,0.006,1493000,N/A,56000
WV,1 - Misused within the past year,0,0,0,0,0.032,0.0037,0.026,0.04,0.005,0.0006,0.004,0.006,50000,N/A,6000
WY,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,478000,N/A,21000
WY,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.97,0.005,0.958,0.978,0.002,0.0001,0.002,0.002,463000,N/A,21000
WY,1 - Misused within the past year,0,0,0,0,0.03,0.005,0.022,0.042,0.001,0.0002,0.001,0.002,14000,N/A,2000
