STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
MN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.041,0.0065,0.03,0.056,0.017,0.0027,0.012,0.023,191000,N/A,31000
MO,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.041,0.0058,0.031,0.054,0.019,0.0027,0.014,0.025,209000,N/A,31000
MS,1 - Misused within the past year,0,0,0,0,0.04,0.0051,0.031,0.051,0.009,0.0011,0.007,0.011,97000,N/A,13000
MT,1 - Misused within the past year,0,0,0,0,0.044,0.0057,0.034,0.057,0.003,0.0005,0.003,0.004,39000,N/A,5000
NC,1 - Misused within the past year,0.001,0.0001,0.001,0.002,0.042,0.0042,0.035,0.052,0.032,0.0033,0.026,0.039,360000,N/A,38000
ND,1 - Misused within the past year,0,0,0,0,0.032,0.0051,0.023,0.043,0.002,0.0003,0.001,0.002,19000,N/A,3000
NE,1 - Misused within the past year,0,0,0,0,0.029,0.0042,0.022,0.038,0.004,0.0006,0.003,0.005,45000,N/A,7000
NH,1 - Misused within the past year,0,0,0,0,0.043,0.007,0.031,0.059,0.004,0.0007,0.003,0.006,50000,N/A,8000
NJ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.034,0.0043,0.027,0.044,0.023,0.003,0.018,0.03,259000,N/A,34000
NM,1 - Misused within the past year,0,0,0,0,0.039,0.005,0.03,0.05,0.006,0.0008,0.005,0.008,67000,N/A,9000
NV,1 - Misused within the past year,0.001,0.0001,0,0.001,0.06,0.006,0.049,0.073,0.013,0.0013,0.011,0.016,149000,N/A,15000
NY,1 - Misused within the past year,0.002,0.0002,0.002,0.002,0.032,0.003,0.027,0.039,0.048,0.0045,0.04,0.058,542000,N/A,52000
OH,1 - Misused within the past year,0.002,0.0001,0.002,0.002,0.05,0.0037,0.043,0.057,0.043,0.0034,0.037,0.05,484000,N/A,39000
OK,1 - Misused within the past year,0,0.0001,0,0.001,0.039,0.0055,0.029,0.051,0.011,0.0016,0.008,0.015,124000,N/A,19000
OR,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.059,0.0067,0.047,0.073,0.018,0.0022,0.014,0.023,206000,N/A,25000
PA,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.044,0.004,0.037,0.052,0.042,0.0039,0.035,0.051,475000,N/A,45000
RI,1 - Misused within the past year,0,0,0,0,0.047,0.0072,0.035,0.064,0.004,0.0006,0.003,0.005,43000,N/A,7000
SC,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.043,0.0051,0.034,0.055,0.016,0.002,0.013,0.021,181000,N/A,23000
SD,1 - Misused within the past year,0,0,0,0,0.045,0.0076,0.032,0.063,0.003,0.0005,0.002,0.004,32000,N/A,6000
TN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.039,0.0047,0.031,0.05,0.019,0.0022,0.016,0.024,219000,N/A,25000
TX,1 - Misused within the past year,0.003,0.0003,0.003,0.004,0.04,0.003,0.035,0.047,0.081,0.006,0.07,0.094,915000,N/A,72000
UT,1 - Misused within the past year,0,0.0001,0,0.001,0.05,0.0063,0.039,0.064,0.011,0.0015,0.008,0.014,122000,N/A,17000
VA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.036,0.0039,0.029,0.044,0.022,0.0026,0.018,0.028,250000,N/A,29000
VT,1 - Misused within the past year,0,0,0,0,0.039,0.0059,0.029,0.052,0.002,0.0003,0.001,0.003,21000,N/A,3000
WA,1 - Misused within the past year,0.001,0.0002,0.001,0.002,0.055,0.0077,0.042,0.073,0.03,0.0041,0.023,0.039,340000,N/A,47000
WI,1 - Misused within the past year,0.001,0.0001,0,0.001,0.031,0.0045,0.024,0.042,0.014,0.0019,0.01,0.018,153000,N/A,22000
WV,1 - Misused within the past year,0,0,0,0,0.036,0.005,0.027,0.047,0.005,0.0007,0.004,0.007,55000,N/A,8000
WY,1 - Misused within the past year,0,0,0,0,0.033,0.0053,0.024,0.045,0.001,0.0002,0.001,0.002,16000,N/A,3000
