STATE US ABBREVIATION,PAIN RELIEVERS - PAST YEAR USE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
MT,0 - Did not use in the past year,0.003,0.0001,0.003,0.003,0.956,0.0031,0.949,0.961,0.003,0.0001,0.003,0.003,784000,N/A,21000
NC,0 - Did not use in the past year,0.029,0.001,0.027,0.031,0.955,0.004,0.946,0.962,0.03,0.001,0.028,0.032,7330000,N/A,257000
ND,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.966,0.0025,0.961,0.971,0.002,0.0001,0.002,0.002,531000,N/A,14000
NE,0 - Did not use in the past year,0.006,0.0001,0.005,0.006,0.966,0.0031,0.96,0.972,0.006,0.0002,0.006,0.006,1426000,N/A,37000
NH,0 - Did not use in the past year,0.004,0.0001,0.004,0.004,0.953,0.0037,0.946,0.96,0.004,0.0001,0.004,0.005,1072000,N/A,20000
NJ,0 - Did not use in the past year,0.028,0.0007,0.027,0.029,0.967,0.0025,0.962,0.971,0.029,0.0008,0.028,0.031,7072000,N/A,184000
NM,0 - Did not use in the past year,0.006,0.0002,0.006,0.006,0.942,0.0039,0.934,0.949,0.006,0.0002,0.006,0.007,1553000,N/A,41000
NV,0 - Did not use in the past year,0.008,0.0003,0.007,0.009,0.938,0.0046,0.928,0.947,0.008,0.0004,0.008,0.009,2037000,N/A,88000
NY,0 - Did not use in the past year,0.062,0.0009,0.06,0.064,0.959,0.0018,0.955,0.962,0.065,0.0009,0.063,0.067,15702000,N/A,225000
OH,0 - Did not use in the past year,0.036,0.0005,0.035,0.037,0.947,0.0017,0.943,0.95,0.038,0.0005,0.037,0.039,9069000,N/A,120000
OK,0 - Did not use in the past year,0.011,0.0003,0.01,0.012,0.93,0.0045,0.921,0.939,0.012,0.0003,0.011,0.012,2795000,N/A,73000
OR,0 - Did not use in the past year,0.012,0.0003,0.011,0.013,0.936,0.0039,0.928,0.943,0.012,0.0003,0.012,0.013,3010000,N/A,85000
PA,0 - Did not use in the past year,0.04,0.0006,0.039,0.041,0.958,0.0017,0.954,0.961,0.042,0.0006,0.041,0.043,10162000,N/A,144000
RI,0 - Did not use in the past year,0.003,0.0001,0.003,0.004,0.943,0.0037,0.935,0.95,0.003,0.0001,0.003,0.004,843000,N/A,24000
SC,0 - Did not use in the past year,0.014,0.0004,0.013,0.015,0.957,0.0032,0.95,0.963,0.015,0.0004,0.014,0.016,3592000,N/A,102000
SD,0 - Did not use in the past year,0.003,0.0001,0.002,0.003,0.969,0.0032,0.962,0.974,0.003,0.0001,0.003,0.003,641000,N/A,19000
TN,0 - Did not use in the past year,0.019,0.0006,0.018,0.021,0.946,0.0039,0.938,0.953,0.02,0.0006,0.019,0.022,4934000,N/A,141000
TX,0 - Did not use in the past year,0.075,0.0013,0.072,0.077,0.956,0.0016,0.953,0.959,0.078,0.0013,0.076,0.081,18961000,N/A,343000
UT,0 - Did not use in the past year,0.008,0.0002,0.008,0.008,0.953,0.0032,0.947,0.959,0.008,0.0002,0.008,0.009,2039000,N/A,57000
VA,0 - Did not use in the past year,0.024,0.0007,0.023,0.026,0.951,0.0048,0.94,0.959,0.026,0.0007,0.024,0.027,6167000,N/A,178000
VT,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.959,0.0035,0.951,0.965,0.002,0.0001,0.002,0.002,516000,N/A,13000
WA,0 - Did not use in the past year,0.02,0.0005,0.02,0.022,0.937,0.0043,0.928,0.945,0.022,0.0005,0.02,0.023,5198000,N/A,132000
WI,0 - Did not use in the past year,0.018,0.0005,0.017,0.019,0.953,0.004,0.944,0.96,0.019,0.0005,0.018,0.02,4499000,N/A,126000
WV,0 - Did not use in the past year,0.006,0.0002,0.006,0.006,0.952,0.0035,0.944,0.958,0.006,0.0002,0.006,0.006,1478000,N/A,38000
WY,0 - Did not use in the past year,0.002,0,0.002,0.002,0.96,0.0029,0.954,0.966,0.002,0,0.002,0.002,433000,N/A,11000
Overall,1 - Used within the past year,0.048,0.0005,0.047,0.049,0.048,0.0005,0.047,0.049,1,0,N/A,N/A,12076000,N/A,123000
AK,1 - Used within the past year,0,0,0,0,0.053,0.0038,0.046,0.061,0.002,0.0002,0.002,0.003,29000,N/A,2000
AL,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.055,0.0039,0.048,0.063,0.018,0.0013,0.015,0.02,214000,N/A,16000
AR,1 - Used within the past year,0.001,0,0,0.001,0.06,0.0041,0.053,0.069,0.012,0.0008,0.01,0.014,143000,N/A,10000
AZ,1 - Used within the past year,0.001,0.0001,0.001,0.002,0.066,0.0038,0.059,0.074,0.029,0.0018,0.025,0.032,346000,N/A,22000
CA,1 - Used within the past year,0.006,0.0002,0.006,0.007,0.051,0.0017,0.047,0.054,0.128,0.0042,0.12,0.136,1545000,N/A,56000
CO,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.057,0.0043,0.049,0.066,0.02,0.0014,0.017,0.023,236000,N/A,17000
CT,1 - Used within the past year,0,0,0,0.001,0.039,0.0027,0.034,0.044,0.009,0.0007,0.008,0.011,115000,N/A,9000
DC,1 - Used within the past year,0,0,0,0,0.041,0.0029,0.035,0.047,0.002,0.0001,0.002,0.002,21000,N/A,2000
DE,1 - Used within the past year,0,0,0,0,0.054,0.0038,0.047,0.062,0.003,0.0002,0.003,0.004,40000,N/A,3000
FL,1 - Used within the past year,0.003,0.0001,0.002,0.003,0.041,0.0016,0.038,0.045,0.054,0.0022,0.05,0.058,651000,N/A,28000
GA,1 - Used within the past year,0.001,0.0001,0.001,0.002,0.045,0.0033,0.039,0.052,0.029,0.0021,0.026,0.034,355000,N/A,25000
HI,1 - Used within the past year,0,0,0,0,0.046,0.0036,0.039,0.053,0.004,0.0003,0.003,0.005,49000,N/A,4000
IA,1 - Used within the past year,0,0,0,0,0.03,0.0022,0.026,0.034,0.006,0.0004,0.005,0.007,74000,N/A,5000
ID,1 - Used within the past year,0,0,0,0,0.057,0.0035,0.05,0.064,0.006,0.0004,0.005,0.007,70000,N/A,5000
IL,1 - Used within the past year,0.002,0.0001,0.002,0.002,0.039,0.0015,0.036,0.042,0.034,0.0013,0.032,0.037,413000,N/A,16000
IN,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.059,0.0037,0.053,0.067,0.026,0.0017,0.023,0.03,315000,N/A,20000
KS,1 - Used within the past year,0,0,0,0,0.042,0.0029,0.037,0.048,0.008,0.0006,0.007,0.009,96000,N/A,8000
KY,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.055,0.0039,0.048,0.064,0.016,0.0011,0.014,0.019,197000,N/A,14000
LA,1 - Used within the past year,0.001,0,0.001,0.001,0.055,0.0029,0.049,0.061,0.016,0.001,0.015,0.019,199000,N/A,12000
MA,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.045,0.0037,0.038,0.053,0.021,0.0016,0.018,0.024,252000,N/A,19000
MD,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.04,0.0031,0.034,0.047,0.016,0.0013,0.014,0.018,191000,N/A,15000
ME,1 - Used within the past year,0,0,0,0,0.04,0.0035,0.033,0.047,0.004,0.0003,0.003,0.004,45000,N/A,4000
MI,1 - Used within the past year,0.002,0.0001,0.002,0.002,0.055,0.0018,0.051,0.058,0.038,0.0013,0.035,0.04,455000,N/A,16000
MN,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.038,0.0031,0.032,0.044,0.014,0.0012,0.012,0.016,166000,N/A,14000
MO,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.045,0.0027,0.04,0.05,0.018,0.0011,0.016,0.021,220000,N/A,14000
MS,1 - Used within the past year,0,0,0,0,0.043,0.0029,0.038,0.049,0.009,0.0006,0.007,0.01,103000,N/A,8000
MT,1 - Used within the past year,0,0,0,0,0.044,0.0031,0.039,0.051,0.003,0.0002,0.003,0.003,36000,N/A,3000
NC,1 - Used within the past year,0.001,0.0001,0.001,0.002,0.045,0.004,0.038,0.054,0.029,0.0027,0.024,0.035,348000,N/A,33000
ND,1 - Used within the past year,0,0,0,0,0.034,0.0025,0.029,0.039,0.002,0.0001,0.001,0.002,19000,N/A,1000
NE,1 - Used within the past year,0,0,0,0,0.034,0.0031,0.028,0.04,0.004,0.0004,0.003,0.005,50000,N/A,4000
NH,1 - Used within the past year,0,0,0,0,0.047,0.0037,0.04,0.054,0.004,0.0003,0.004,0.005,52000,N/A,4000
NJ,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.033,0.0025,0.029,0.038,0.02,0.0016,0.017,0.024,244000,N/A,19000
NM,1 - Used within the past year,0,0,0,0,0.058,0.0039,0.051,0.066,0.008,0.0006,0.007,0.009,95000,N/A,7000
NV,1 - Used within the past year,0.001,0,0,0.001,0.062,0.0046,0.053,0.072,0.011,0.0009,0.009,0.013,134000,N/A,11000
NY,1 - Used within the past year,0.003,0.0001,0.002,0.003,0.041,0.0018,0.038,0.045,0.056,0.0024,0.052,0.061,678000,N/A,30000
OH,1 - Used within the past year,0.002,0.0001,0.002,0.002,0.053,0.0017,0.05,0.057,0.042,0.0013,0.04,0.045,512000,N/A,16000
OK,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.07,0.0045,0.061,0.079,0.017,0.0012,0.015,0.02,210000,N/A,15000
OR,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.064,0.0039,0.057,0.072,0.017,0.0011,0.015,0.019,206000,N/A,14000
PA,1 - Used within the past year,0.002,0.0001,0.002,0.002,0.042,0.0017,0.039,0.046,0.037,0.0016,0.034,0.04,448000,N/A,19000
RI,1 - Used within the past year,0,0,0,0,0.057,0.0037,0.05,0.065,0.004,0.0003,0.004,0.005,51000,N/A,4000
SC,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.043,0.0032,0.037,0.05,0.013,0.0011,0.011,0.016,161000,N/A,13000
SD,1 - Used within the past year,0,0,0,0,0.031,0.0032,0.026,0.038,0.002,0.0002,0.001,0.002,21000,N/A,2000
TN,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.054,0.0039,0.047,0.062,0.023,0.0015,0.021,0.027,283000,N/A,19000
TX,1 - Used within the past year,0.003,0.0001,0.003,0.004,0.044,0.0016,0.041,0.047,0.073,0.0028,0.067,0.078,878000,N/A,35000
UT,1 - Used within the past year,0,0,0,0,0.047,0.0032,0.041,0.053,0.008,0.0006,0.007,0.009,100000,N/A,7000
VA,1 - Used within the past year,0.001,0.0001,0.001,0.002,0.049,0.0048,0.041,0.06,0.027,0.0027,0.022,0.032,320000,N/A,33000
VT,1 - Used within the past year,0,0,0,0,0.041,0.0035,0.035,0.049,0.002,0.0002,0.002,0.002,22000,N/A,2000
WA,1 - Used within the past year,0.001,0.0001,0.001,0.002,0.063,0.0043,0.055,0.072,0.029,0.0019,0.026,0.033,351000,N/A,24000
WI,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.047,0.004,0.04,0.056,0.019,0.0016,0.016,0.022,224000,N/A,19000
WV,1 - Used within the past year,0,0,0,0,0.048,0.0035,0.042,0.056,0.006,0.0004,0.005,0.007,75000,N/A,5000
WY,1 - Used within the past year,0,0,0,0,0.04,0.0029,0.034,0.046,0.001,0.0001,0.001,0.002,18000,N/A,1000
